product_name,sku,category,store_name,sale_date,quantity,revenue,current_stock,selling_price,cost_price,lead_time_days,safety_stock
"Aavin Toned Milk 500ml","AAV-MILK-500","Dairy","Downtown Superstore","2024-05-01",9,225,4,25,21,2,20
"Nandini Full Cream Milk 1L","NAN-MILK-1000","Dairy","Downtown Superstore","2024-05-01",9,486,6,54,46,2,15
"Tata Tea Gold 250g","TAT-TEA-250","Beverages","Downtown Superstore","2024-05-01",6,960,28,160,130,4,12
"Bru Instant Coffee 100g","BRU-COF-100","Beverages","Downtown Superstore","2024-05-01",6,1260,22,210,175,5,10
"Aashirvaad Shudh Chakki Atta 5kg","AAS-ATTA-5KG","Staples","Downtown Superstore","2024-05-01",6,1590,18,265,225,4,15
"Fortune Sunlite Sunflower Oil 1L","FOR-OIL-1L","Staples","Downtown Superstore","2024-05-01",6,870,32,145,122,3,20
"Parle-G Gold Biscuits 1kg","PAR-GLD-1KG","Snacks","Downtown Superstore","2024-05-01",8,960,45,120,95,3,15
"Maggi 2-Minute Noodles 420g","MAG-NOD-420","Snacks","Downtown Superstore","2024-05-01",8,760,60,95,78,3,25
"Britannia Good Day Butter 200g","BRI-GDB-200","Snacks","Downtown Superstore","2024-05-01",8,360,40,45,36,3,20
"Surf Excel Easy Wash 1kg","SRF-WSH-1KG","Household","Downtown Superstore","2024-05-01",6,840,25,140,115,5,12
"Dettol Original Soap 125g","DET-SOP-125","Personal Care","Downtown Superstore","2024-05-01",3,174,300,58,46,4,15
"Colgate Strong Teeth 200g","COL-PST-200","Personal Care","Downtown Superstore","2024-05-01",1,115,45,115,92,4,10
"Aavin Toned Milk 500ml","AAV-MILK-500","Dairy","Westside Mall","2024-05-01",9,225,35,25,21,2,20
"Nandini Full Cream Milk 1L","NAN-MILK-1000","Dairy","Westside Mall","2024-05-01",9,486,40,54,46,2,15
"Tata Tea Gold 250g","TAT-TEA-250","Beverages","Westside Mall","2024-05-01",6,960,30,160,130,4,12
"Bru Instant Coffee 100g","BRU-COF-100","Beverages","Westside Mall","2024-05-01",6,1260,24,210,175,5,10
"Aashirvaad Shudh Chakki Atta 5kg","AAS-ATTA-5KG","Staples","Westside Mall","2024-05-01",6,1590,25,265,225,4,15
"Fortune Sunlite Sunflower Oil 1L","FOR-OIL-1L","Staples","Westside Mall","2024-05-01",6,870,35,145,122,3,20
